id,firstCapture
783304,20150905
783305,20150905
783306,20150905
783307,20150905
783308,20150905
783309,20150905
783310,20150905
783311,20150905
783312,20150905
783313,20150905
783314,20150905
783315,20150905
783316,20150906
783317,20150906
783318,20150906
783319,20150906
783320,20150906
783321,20150906
783322,20150906
783323,20150906
783324,20150906
783325,20150906
783326,20150906
783327,20150906
783328,20150906
783329,20150905
783330,20150905
783331,20150905
783332,20150905
783333,20150905
783334,20150905
783335,20150905
783336,20150906
783337,20150906
783338,20150905
783339,20150905
783340,20150905
783341,20150905
783342,20150905
783343,20150905
783344,20150906
783345,20150906
783346,20150905
783347,20150906
783348,20150906
783349,20150905
783350,20150905
783351,20150905
783352,20150905
783353,20150905
783354,20150906
783355,20150906
783356,20150906
783357,20150907
783358,20150906
783359,20150906
783360,20150907
783361,20150907
783362,20150906
783363,20150908
783364,20150908
783365,20150908
783366,20150907
783367,20150907
783368,20150908
783369,20150907
783370,20150905
783371,20150905
783372,20150906
783373,20150905
783374,20150907
783375,20150908
783376,20150908
783377,20150906
783378,20150905
783379,20150907
783380,20150908
783381,20150905
783382,20150905
783383,20150908
783384,20150905
783385,20150907
783386,20150908
783387,20150908
783388,20150907
783389,20150906
783390,20150907
783391,20150908
783392,20150905
783393,20150908
783394,20150907
783395,20150906
783396,20150908
783397,20150907
783398,20150910
783400,20150908
783401,20150907
783402,20150905
783403,20150906
783405,20150908
783408,20150907
783411,20150908
783417,20150907
783418,20150908
783424,20150910
783427,20150910
783428,20150910
783429,20150907
783430,20150905
783431,20150906
783432,20150905
783433,20150910
783434,20150905
783435,20150908
783436,20150906
783437,20150905
783438,20150907
783439,20150906
783440,20150906
783441,20150906
783442,20150908
783443,20150907
783444,20150908
783445,20150906
783446,20150905
783447,20150905
783448,20150906
783449,20150906
783450,20150908
783451,20150906
783452,20150912
783453,20150906
783454,20150906
783455,20150906
783456,20150906
783457,20150906
783459,20150906
783460,20150910
783461,20150908
783464,20150905
783467,20150905
783468,20150906
783469,20150905
783470,20150910
783471,20150908
783472,20150908
783473,20150908
783474,20150908
783475,20150908
783476,20150908
783477,20150908
783478,20150908
783479,20150908
783480,20150905
783481,20150906
783482,20150907
783483,20150908
783484,20150907
783485,20150908
783486,20150906
783487,20150908
783488,20150908
783489,20150908
783490,20150908
783491,20150907
783492,20150908
783493,20150913
783494,20150913
783495,20150906
783496,20150913
783497,20150913
783498,20150913
783499,20150913
783500,20150905
783501,20150907
783502,20150910
783503,20150907
783504,20150913
783505,20150910
783506,20150913
783507,20150906
783508,20150913
783509,20150910
783510,20150913
783511,20150905
783512,20150912
783513,20150912
783514,20150912
783515,20150912
783516,20150912
783517,20150912
783518,20150913
783519,20150908
783520,20150912
783521,20150912
783522,20150908
783523,20150907
783524,20150906
783525,20150905
783526,20150906
783527,20150905
783528,20150905
783529,20150905
783530,20150906
783531,20150905
783532,20150906
783533,20150906
783534,20150905
783535,20150908
783536,20150906
783537,20150908
783538,20150908
783539,20150906
783540,20150906
783541,20150907
783542,20150908
783543,20150908
783544,20150907
783545,20150908
783546,20150908
783547,20150908
783548,20150907
783549,20150908
783550,20150907
783551,20150908
784037,20150924
787379,20150917
787380,20150917
787381,20150917
787382,20150917
790031,20150923
790032,20150923
790033,20150923
790034,20150923
790035,20150923
790036,20150924
790037,20150924
790876,20151002
790883,20151002
790902,20150930
790908,20151003
790919,20151003
790927,20151023
790928,20151023
790929,20151023
790930,20151003
790931,20151023
790932,20151023
790933,20151003
790934,20151023
790935,20151023
790936,20151023
790938,20151003
790939,20151017
790940,20151017
790941,20151017
790942,20151017
790943,20151017
790944,20151003
790945,20151017
790946,20151017
790947,20151017
790948,20151017
790949,20151022
790950,20151017
790951,20151017
790952,20151017
790953,20151017
790954,20151017
790955,20151017
790956,20151022
790957,20151017
790975,20151003
790977,20151003
790978,20151003
790983,20150930
790992,20151023
790993,20151023
790994,20151023
790995,20151023
790996,20151003
790997,20151023
790998,20151023
790999,20151023
791000,20151002
791001,20151023
791015,20150930
791016,20151002
791018,20151006
791019,20151007
791020,20151006
791025,20151006
791027,20151007
791028,20151007
791029,20151007
791030,20151007
791032,20151007
791033,20151018
791035,20151018
791037,20151018
791038,20151018
791039,20151018
791040,20151018
791041,20151018
791042,20151018
791044,20151018
791046,20151017
791047,20151017
791048,20151017
791049,20151017
791050,20151017
791051,20151017
791052,20151017
791053,20151017
791054,20151017
791055,20151017
791056,20151017
791057,20151017
791058,20151017
791059,20151017
791060,20151002
791061,20151017
791062,20151017
791063,20151017
791064,20151017
791065,20151017
791067,20151002
791079,20150930
791080,20151017
791082,20150930
791087,20151002
791112,20151002
791113,20151002
791118,20150930
791119,20150930
791129,20150930
793193,20151017
798435,20150928
798436,20150928
798437,20150928
798438,20150928
798439,20150928
798447,20151009
800847,20150924
800849,20150924
800908,20150924
800956,20150924
800989,20150924
800997,20150924
801021,20150924
801025,20150924
808396,20150928
808397,20150928
808528,20150928
808529,20150928
808535,20150928
815459,20151010
815460,20151010
815461,20151010
815462,20151010
815463,20151010
815464,20151010
815465,20151010
815466,20151010
815467,20151010
815468,20151010
817960,20151009
817994,20151011
817995,20151011
817996,20151011
817997,20151011
817998,20151011
818071,20151009
818094,20151011
818095,20151011
818096,20151011
818097,20151011
818125,20151009
818129,20151009
818132,20151009
818136,20151008
818137,20151008
818138,20151008
818139,20151008
818140,20151008
818141,20151008
818142,20151008
818143,20151008
818144,20151008
818145,20151008
824972,20151009
825205,20151009
826089,20151014
826090,20151014
826091,20151014
826092,20151014
826093,20151014
826094,20151014
826095,20151014
826096,20151015
826097,20151015
826098,20151015
826405,20151011
835034,20151023
835035,20151023
835036,20151023
835037,20151023
835038,20151023
835091,20151017
835092,20151017
835093,20151017
835094,20151017
835095,20151017
835096,20151017
835097,20151017
835098,20151017
835709,20151021
835720,20151023
835721,20151023
835722,20151023
835723,20151023
835737,20151021
835741,20151021
835755,20151021
835822,20151021
835840,20151021
840075,20151021
840080,20151114
843749,20151023
852954,20250815
852977,20151114
852978,20151114
852979,20151114
852980,20151114
852981,20151114
852982,20151114
852983,20151114
852984,20151114
852985,20151114
855379,20151114
858222,20151114
858243,20151114
860296,20151114
860297,20151114
860298,20151114
866454,20151109
866483,20151109
866950,20151109
866964,20151109
866985,20151109
866992,20151109
867028,20151109
867052,20151109
871786,20151114
871787,20151114
871788,20151114
890841,20221010
911484,20151221
911490,20151231
911494,20151231
911835,20151222
911836,20151221
911837,20151221
911838,20151222
911839,20151222
911840,20151222
911841,20151221
911842,20151222
911843,20151222
911844,20151222
922030,20151222
922110,20151222
922117,20151222
922119,20151222
922389,20151228
922390,20151228
922391,20151228
922392,20151228
922393,20151227
922394,20151227
922395,20151227
922396,20151227
922438,20151222
922453,20151222
922454,20151222
922455,20151222
926561,20151225
927906,20151227
927907,20151227
927908,20151227
927909,20151227
927910,20151227
928094,20151231
928113,20151231
928118,20151225
928203,20151225
928208,20151225
928516,20151225
928528,20151225
928631,20151225
928645,20151225
928669,20151225
928670,20151225
946362,20250330
946612,20250603
951448,20160120
951513,20160120
951535,20160120
951608,20160120
951820,20160120
954987,20160120
954988,20160120
954989,20160120
954990,20160120
954991,20160120
955141,20160118
955142,20160118
955143,20160118
955144,20160118
955145,20160118
955146,20160118
955147,20160118
955148,20160118
955149,20160118
955150,20160118
955151,20160118
955152,20160118
955153,20160118
955154,20160118
955155,20160118
955156,20160118
955157,20160118
955158,20160118
955159,20160118
957880,20160118
957881,20160118
957882,20160118
957883,20160118
957884,20160118
957885,20160118
957886,20160118
957887,20160118
957888,20160118
957889,20160118
957890,20160118
957891,20160118
957892,20160118
957893,20160118
957894,20160118
957895,20160118
957896,20160118
957897,20160118
957940,20160118
957941,20160118
957942,20160118
957943,20160118
957944,20160118
957945,20160118
957946,20160118
957947,20160118
957948,20160118
957949,20160118
957950,20160118
957951,20160118
957952,20160118
962436,20160201
962437,20160201
962438,20160201
962439,20160201
962440,20160201
962441,20160201
962442,20160201
962443,20160201
962444,20160201
962445,20160201
962446,20160201
962447,20160201
962448,20160201
962449,20160201
962450,20160201
962451,20160201
962452,20160201
962453,20160201
962454,20160201
962455,20160201
962456,20160201
962457,20160201
962458,20160201
962459,20160201
962460,20160201
962461,20160129
962462,20160201
962463,20160201
962464,20160127
962465,20160201
962466,20160201
962467,20160125
962468,20160201
962469,20160201
962470,20160201
962471,20160201
962472,20160201
962473,20160125
962474,20160201
962475,20160201
962476,20160201
962477,20160201
962478,20160201
962479,20160201
962480,20160201
962481,20160201
962482,20160201
962483,20160201
962484,20160201
962485,20160201
972766,20160202
972767,20160202
972777,20160201
972778,20160201
972779,20160201
972780,20160201
972781,20160201
972782,20160201
972783,20160201
972784,20160201
972785,20160201
972822,20160202
972844,20160201
990040,20160218
990041,20160218
990042,20160218
990043,20160218
990044,20160218
993095,20160218
993098,20160218
993102,20160218
993114,20160218
993188,20160218
999644,20160226
999645,20160226
999646,20160226
999647,20160226
999778,20160226
999779,20160226
999780,20160226
1000008,20160226
1000009,20160226
1000010,20160226
1016862,20160312
1016874,20160325
1016899,20160325
1016968,20160325
1016970,20160312
1016971,20160312
1016972,20160312
1016973,20160312
1016974,20160312
1016991,20160329
1016992,20160329
1016993,20160329
1016994,20160329
1016995,20160329
1016996,20160329
1016997,20160329
1016998,20160329
1016999,20160329
1017000,20160329
1017185,20160325
1017194,20160325
