id,first_capture
243742,20140812
243743,20140802
243744,20140812
243745,20140812
243746,20140812
243747,20140829
243748,20140812
243749,20140812
243750,20140829
243751,20140812
243752,20140829
244171,20140813
244173,20140813
244174,20140813
244175,20140813
244176,20140813
244177,20140813
244181,20140817
244183,20140813
244186,20140814
244187,20140813
244189,20140813
244190,20140813
244193,20140813
244195,20140812
244196,20140731
244197,20140813
244199,20140829
244200,20140829
244202,20140813
244203,20140815
244205,20140815
244206,20140813
244208,20140809
244209,20140813
244210,20140817
244211,20140815
244213,20140814
244214,20140815
244279,20140813
244300,20140813
244301,20140813
244302,20140813
244303,20140813
244304,20140802
244305,20140813
244306,20140813
244307,20140813
244320,20140721
244436,20140813
244437,20140813
244438,20140813
244439,20140813
244453,20140809
244540,20140812
244541,20140813
244542,20140813
244543,20140829
244544,20140813
244545,20140813
244546,20140813
244547,20140813
244548,20140813
244549,20140813
244550,20140812
244551,20140813
244552,20140813
244553,20140813
244554,20140813
244555,20140813
244556,20140813
244557,20140813
244558,20140813
244559,20140813
244560,20140812
244584,20140724
244766,20140812
244769,20140812
244770,20140812
244771,20140813
244772,20140813
244773,20140813
244774,20140813
244775,20140813
244776,20140813
244777,20140813
244778,20140813
244779,20140813
244780,20140813
244781,20140813
244782,20140813
244783,20140813
244784,20140813
244785,20140813
244786,20140813
244787,20140813
244788,20140813
244789,20140813
244790,20140813
244791,20140813
244792,20140813
244793,20140813
244794,20140813
244818,20140813
244819,20140813
244820,20140813
244821,20140813
244822,20140813
244823,20140813
244824,20140813
244825,20140813
244826,20140813
244827,20140813
244828,20140813
244829,20140813
244830,20140813
244831,20140829
244832,20140813
244833,20140813
244834,20140813
244835,20140813
244836,20140813
244837,20140813
244868,20140813
244869,20140813
244871,20140813
244872,20140829
244873,20140813
244874,20140813
244875,20140813
244876,20140813
244877,20140813
244878,20140813
244879,20140813
244880,20140813
244881,20140813
244882,20140813
244883,20140813
244884,20140813
244885,20140813
244886,20140813
244887,20140813
244888,20140813
244889,20140813
244890,20140813
244891,20140813
244892,20140813
244893,20140813
245006,20140829
245812,20140814
246395,20140814
246474,20140813
246475,20140810
246476,20140813
246477,20140813
246478,20140813
246479,20140813
246480,20140829
246481,20140813
246482,20140813
246483,20140813
246484,20140813
246485,20140813
246486,20140813
246487,20140813
246488,20140813
246489,20140813
246490,20140813
246491,20140813
246492,20140813
246493,20140813
246494,20140813
246495,20140813
246496,20140813
246497,20140813
246498,20140829
246499,20140813
246505,20140813
246506,20140812
246507,20140812
246508,20140812
246509,20140812
246591,20140812
246592,20140813
246593,20140810
246594,20140813
246595,20140812
246596,20140813
246597,20140812
246598,20140812
246599,20140829
246600,20140812
246601,20140812
246602,20140810
246603,20140812
246604,20140812
246605,20140812
246606,20140813
246607,20140812
246608,20140813
246609,20140829
246610,20140812
246623,20140813
246624,20140813
246625,20140813
246626,20140813
246627,20140813
246628,20140829
246629,20140813
246630,20140813
246632,20140813
246633,20140813
246634,20140813
246635,20140813
246636,20140813
246637,20140829
246638,20140813
246639,20140813
246735,20140813
246736,20140813
246737,20140813
246738,20140813
246739,20140813
246760,20140813
246761,20140813
246762,20140813
246763,20140813
246764,20140813
246765,20140813
246766,20140813
246767,20140813
246768,20140813
247008,20140813
247009,20140813
247010,20140813
247011,20140813
247012,20140813
247041,20150919
247152,20140813
247153,20140813
247154,20140813
247155,20140813
247334,20140813
247335,20140813
247336,20140813
247337,20140813
247338,20140813
247339,20140813
247340,20140813
247341,20140813
247342,20140813
247343,20140813
247344,20140813
247345,20140813
247346,20140813
247347,20140813
247348,20140813
247349,20140813
247350,20140829
247351,20140813
247352,20140813
247361,20140813
247362,20140813
247363,20140813
247364,20140813
247365,20140813
247366,20140813
247367,20140815
247368,20140815
247369,20140815
247370,20140813
247371,20140813
247372,20140813
247373,20140813
247374,20140813
247375,20140813
247376,20140813
247377,20140815
247378,20140815
247379,20140813
247510,20140817
247511,20140817
247512,20140817
247513,20140817
249237,20250816
251346,20140713
256498,20201111
256860,20140809
258900,20150908
261315,20250821
263572,20210417
266675,20140727
268756,20140903
271339,20140725
271423,20140805
271706,20150505
276876,20201111
279759,20140805
293486,20140929
298849,20140826
302383,20250708
306956,20211204
306957,20190720
306965,20211204
309167,20140903
325020,20141020
326838,20140910
326846,20140910
326847,20140909
329726,20140910
330438,20140910
330439,20140910
337361,20140929
339283,20140929
339312,20150505
341418,20140929
344760,20140925
347493,20140929
357988,20141020
358342,20141006
358344,20141006
358382,20141006
360194,20141003
360713,20141008
360850,20141006
360851,20141006
360852,20141006
360853,20141006
360854,20141006
360855,20141006
360856,20141006
360857,20141006
360858,20141006
361011,20141011
361012,20141010
361013,20141010
361017,20141010
361018,20141010
361035,20141006
363323,20141202
363515,20141202
365427,20141006
367403,20141010
367467,20141012
367468,20141012
367469,20141012
367470,20141012
367473,20141012
367474,20141012
367475,20141012
367476,20141012
367477,20141012
367478,20141012
367479,20141012
367480,20141012
367481,20141012
367482,20141012
367483,20141012
367484,20141012
367485,20141012
367491,20141010
367565,20141202
367833,20141016
367834,20141016
367835,20141016
367837,20141016
367838,20141016
367840,20141016
367845,20141016
367849,20141016
367853,20141016
367861,20141016
367872,20141016
367885,20141016
368376,20141012
368377,20141012
368378,20141010
368379,20141012
368380,20141012
368381,20141012
368382,20141012
368384,20141012
368385,20141012
368386,20141013
368387,20141013
368388,20141010
368389,20141012
368390,20141012
368391,20141012
368392,20141013
368393,20141012
368394,20141012
368395,20141012
368396,20141013
368397,20141013
368398,20141013
368399,20141012
368400,20141012
368401,20141012
368402,20141012
368403,20141012
368404,20141013
368405,20141012
368406,20141012
368407,20141012
368408,20141012
369985,20141011
369987,20141010
370020,20141012
370436,20141012
370437,20141012
370438,20141012
370698,20141016
370699,20141016
370740,20141016
370741,20141016
370742,20141016
370743,20141016
370744,20141016
370745,20141016
370746,20141016
370747,20141016
370748,20141016
370749,20141016
372701,20141202
372723,20150217
372914,20141020
373391,20141012
375275,20141020
375276,20141020
375277,20141020
375278,20141019
375279,20141020
375280,20141019
375281,20141019
375282,20141020
375283,20141020
375284,20141020
375285,20141020
375286,20141020
375287,20141020
375288,20141020
375289,20141020
375290,20141020
375291,20141020
375292,20141020
375293,20141019
375294,20141020
375295,20141019
375296,20141020
375297,20141020
375298,20141020
375299,20141019
375300,20141020
375301,20141019
375302,20141019
375303,20141019
375304,20141020
375305,20141020
375306,20141020
375307,20141020
375308,20141020
375309,20141020
375310,20141020
375311,20141020
375312,20141020
375313,20141020
